"","player_api_id","appearances","num_leagues","gk_rating","player_name","overall_rating"
"525",68422,13,1,349,"Roberto Fernandez",70
"526",13345,143,2,374,"Pawel Kieszek",75
"527",177152,3,1,324,"Marko Meerits",65
"528",231674,14,1,323,"Erik Cummins",64
"529",21645,34,1,321,"David Meul",62
"530",206809,109,2,325,"Filip Kurto",66
"531",118848,123,1,379,"Robbin Ruiter",75
"532",156546,81,1,347,"Kostas Lamprou",69
"533",5710,53,1,352,"Diederik Boer",70
"534",42592,8,1,348,"Khalid Sinouh",76
"535",181377,6,1,313,"Leon Ter Wielen",63
"536",278844,2,1,300,"Martijn de Swart",60
"537",207058,1,1,307,"Niclas Heimann",62
"538",33330,3,1,320,"Danny Wintjens",66
"539",150021,28,1,359,"Karl-Johan Johnsson",70
"540",209785,79,1,358,"Nick Marsman",70
"541",189958,93,1,334,"Leonard Nienhuis",66
"542",45182,23,1,328,"Jan Seda",65
"543",161014,9,1,320,"Harm Zeinstra",64
"544",110112,12,1,314,"Arjan van Dijk",63
"545",47532,65,1,349,"Martin Hansen",71
"546",553476,31,1,350,"Sergio Rochet",69
"547",352003,30,1,363,"Warner Hahn",73
"548",352365,40,1,345,"Mickey van der Hart",67
"549",212147,13,1,349,"Sonny Stevens",71
"550",167059,4,1,320,"Jordy Deckers",63
"551",143923,2,1,308,"Robbert Te Loeke",62
"552",561819,11,1,321,"Alessandro Damen",64
"553",46130,2,1,312,"Peter van der Vlag",61
"554",243482,34,1,344,"Benjamin van Leer",69
"555",129241,8,1,325,"Hannes Thor Halldorsson",67
"556",467024,34,1,343,"Hidde Jurjus",68
"557",588337,11,1,327,"Joel Drommel",66
"558",141126,6,1,328,"Benjamin Kirsten",67
"559",109650,3,1,295,"Marco van Duin",60
"560",243490,5,1,315,"Filip Bednarek",62
"561",47249,37,1,324,"Sebastian Nowak",64
"562",13436,125,1,NA,"Krzysztof Pilarz",NA
"563",68835,40,1,315,"Grzegorz Kasprzik",62
"564",13320,70,1,NA,"Krzysztof Kotorowski",NA
"565",13390,60,1,312,"Wojciech Skaba",63
"566",43313,105,1,NA,"Mariusz Pawelek",NA
"567",93450,82,1,327,"Wojciech Kaczmarek",67
"568",115268,79,1,333,"Michal Peskovic",66
